date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:29	75087/75087	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:27:34%20GMT	https://demo.bosathemes.com/html/travele/index.html	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/index.html	(from )
12:43:31	121/121	---MCZ	200	added ('OK')	text/plain	date:Fri,%2026%20Apr%202024%2005:43:31%20GMT	https://demo.bosathemes.com/robots.txt		(from )
12:43:31	13446/13446	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Nov%202021%2009:21:40%20GMT	https://demo.bosathemes.com/html/travele/assets/images/favicon.png	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/assets/images/favicon.png	(from https://demo.bosathemes.com/html/travele/index.html)
12:43:31	159521/159521	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Nov%202021%2009:21:40%20GMT	https://demo.bosathemes.com/html/travele/assets/vendors/bootstrap/css/bootstrap.min.css	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://demo.bosathemes.com/html/travele/index.html)
12:43:32	57184/57184	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Nov%202021%2009:21:40%20GMT	https://demo.bosathemes.com/html/travele/assets/vendors/fontawesome/css/all.min.css	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/assets/vendors/fontawesome/css/all.min.css	(from https://demo.bosathemes.com/html/travele/index.html)
12:43:32	30753/30753	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Nov%202021%2009:21:40%20GMT	https://demo.bosathemes.com/html/travele/assets/vendors/jquery-ui/jquery-ui.min.css	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/assets/vendors/jquery-ui/jquery-ui.min.css	(from https://demo.bosathemes.com/html/travele/index.html)
12:43:33	2070/2070	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Nov%202021%2009:21:40%20GMT	https://demo.bosathemes.com/html/travele/assets/vendors/modal-video/modal-video.min.css	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/assets/vendors/modal-video/modal-video.min.css	(from https://demo.bosathemes.com/html/travele/index.html)
12:43:34	2532/2532	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Nov%202021%2009:21:40%20GMT	https://demo.bosathemes.com/html/travele/assets/vendors/lightbox/dist/css/lightbox.min.css	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/assets/vendors/lightbox/dist/css/lightbox.min.css	(from https://demo.bosathemes.com/html/travele/index.html)
12:43:34	1895/1895	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Nov%202021%2009:21:40%20GMT	https://demo.bosathemes.com/html/travele/assets/vendors/slick/slick.css	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/assets/vendors/slick/slick.css	(from https://demo.bosathemes.com/html/travele/index.html)
12:43:34	3349/3349	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Nov%202021%2009:21:40%20GMT	https://demo.bosathemes.com/html/travele/assets/vendors/slick/slick-theme.css	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/assets/vendors/slick/slick-theme.css	(from https://demo.bosathemes.com/html/travele/index.html)
12:43:35	196841/196841	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Jan%202022%2008:10:54%20GMT	https://demo.bosathemes.com/html/travele/style.css	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/style.css	(from https://demo.bosathemes.com/html/travele/index.html)
12:43:35	175417/175417	---M--	200	added ('OK')	image/gif	date:Mon,%2022%20Nov%202021%2009:21:40%20GMT	https://demo.bosathemes.com/html/travele/assets/images/loader1.gif	D:/Tour.html/themme-foret/demo.bosathemes.com/html/travele/assets/images/loader1.gif	(from https://demo.bosathemes.com/html/travele/index.html)
